path,size_kb,modified
.gitignore,0.44,2026-05-21T11:24:50
README.md,1.82,2026-05-21T11:24:50
docs/01_contexto_y_objetivos.md,0.72,2026-05-21T11:24:50
docs/02_fuentes_de_datos.md,0.37,2026-05-21T11:24:50
docs/03_pipeline_bronze_silver_gold.md,0.41,2026-05-21T11:24:50
docs/04_datasets_y_variables.md,0.42,2026-05-21T11:24:50
docs/05_modelos_entrenados.md,0.49,2026-05-21T11:24:50
docs/06_resultados_modelado.md,2.34,2026-05-21T11:24:50
docs/07_arquitectura_final.md,0.37,2026-05-21T11:24:50
docs/08_limitaciones_y_trabajo_futuro.md,0.51,2026-05-21T11:24:50
docs/09_reproducibilidad.md,0.6,2026-05-21T11:24:50
docs/bibliografia_base.md,0.35,2026-05-21T11:24:50
docs/estado_actual.md,0.5,2026-05-20T18:18:00
docs/github_checklist.md,0.42,2026-05-21T11:24:50
docs/memoria_outline.md,0.29,2026-05-21T11:24:50
docs/modeling_final_report.md,19.26,2026-05-20T23:40:47
docs/modeling_short_summary.md,1.32,2026-05-20T23:40:54
docs/notebooks_index.md,0.73,2026-05-21T11:24:50
reports/figures/final_physical_direction_angular_mae.png,73.19,2026-05-20T23:40:31
reports/figures/final_physical_scalar_mae.png,76.44,2026-05-20T23:40:31
reports/figures/final_risk_macro_f1_beach.png,78.76,2026-05-20T23:40:31
reports/figures/final_risk_macro_f1_general.png,80.46,2026-05-20T23:40:32
reports/figures/final_risk_macro_f1_navigation.png,79.4,2026-05-20T23:40:32
reports/figures/final_risk_security_score_by_model.png,96.94,2026-05-20T23:40:31
reports/figures/final_surf_module_score.png,92.45,2026-05-20T23:40:32
reports/figures/final_surf_quality_macro_f1.png,86.56,2026-05-20T23:40:32
reports/figures/final_surf_score_mae.png,86.83,2026-05-20T23:40:32
reports/model_summaries/final_architecture_decision.json,5.28,2026-05-20T23:40:32
reports/model_summaries/final_modeling_report.md,19.26,2026-05-20T23:40:47
reports/model_summaries/final_modeling_short_summary.md,1.32,2026-05-20T23:40:54
reports/tables/copied_model_reports.csv,0.75,2026-05-20T23:40:32
reports/tables/final_architecture_risk_modules.csv,1.24,2026-05-20T23:40:32
reports/tables/final_architecture_surf_module.csv,0.63,2026-05-20T23:40:32
reports/tables/final_executive_results_table.csv,8.41,2026-05-20T23:40:32
reports/tables/final_modeling_status.csv,0.63,2026-05-20T23:40:31
reports/tables/final_physical_direction_improvement.csv,2.44,2026-05-20T23:40:31
reports/tables/final_physical_scalar_improvement.csv,10.29,2026-05-20T23:40:31
reports/tables/final_risk_recommendations.csv,12.67,2026-05-20T23:40:31
reports/tables/final_risk_test_metrics_scored.csv,18.52,2026-05-20T23:40:31
reports/tables/final_surf_recommendations.csv,4.86,2026-05-20T23:40:32
reports/tables/final_surf_test_metrics_scored.csv,8.55,2026-05-20T23:40:32
