module,horizon_hours,selected_method,reason
risk_beach,3,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_beach,6,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_beach,12,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_beach,24,PersistenceRisk,best_security_score_from_notebook_16
risk_beach,48,PersistenceRisk,best_security_score_from_notebook_16
risk_general,3,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_general,6,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_general,12,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_general,24,PersistenceRisk,best_security_score_from_notebook_16
risk_general,48,PersistenceRisk,best_security_score_from_notebook_16
risk_navigation,3,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_navigation,6,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_navigation,12,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_navigation,24,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
risk_navigation,48,PhysicalDerivedRisk_LGBMPhysical,best_security_score_from_notebook_16
